,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,46,304,36,2,130,17,14,124,128,143,164,286,597,781,1929,4636,854,0
3,275,18,2,10,5,22,280,682,332,317,432,1219,1359,1807,3660,854,0,0
4,357,169,157,300,683,1215,1351,949,1291,1371,1671,2576,4279,5612,1830,0,0,0
5,9191,9378,9368,9215,8714,8161,7754,7631,7639,7559,6980,5002,2562,0,0,0,0,0
1,4568,4568,5114,5118,5128,5131,5139,5149,5148,5148,5163,5432,6077,6842,7780,9811,14368,15100
2,56,542,130,131,1,8,10,17,18,15,269,645,765,938,2031,4557,732,0
3,501,15,8,9,255,260,532,1026,653,656,1270,1292,1603,2029,3703,732,0,0
4,528,413,286,417,824,1588,1575,1201,1553,1678,1543,3308,4459,5291,1586,0,0,0
5,9447,9562,9562,9425,8892,8113,7844,7707,7728,7603,6855,4423,2196,0,0,0,0,0
1,2079,2079,2183,2199,2250,2276,2329,2378,2402,2402,2538,2673,2934,3006,3255,3300,3300,3300
2,24,99,16,36,3,43,49,50,26,136,135,261,72,249,45,0,0,0
3,97,5,30,15,31,28,99,183,313,203,284,211,294,45,0,0,0,0
4,360,134,94,157,217,428,508,483,353,444,343,155,0,0,0,0,0,0
5,740,983,977,893,799,525,315,206,206,115,0,0,0,0,0,0,0,0
1,1832,1832,2010,2018,2042,2061,2081,2123,2147,2147,2194,2186,2242,2291,2474,2888,3386,6100
2,81,138,18,27,16,15,16,66,52,53,55,152,58,185,377,458,2714,0
3,95,58,5,7,24,60,159,151,135,134,101,160,342,366,405,2294,0,0
4,466,228,262,294,304,282,206,173,179,168,369,520,560,1908,2844,460,0,0
5,3626,3844,3805,3754,3714,3682,3638,3587,3587,3598,3381,3082,2898,1350,0,0,0,0
1,3015,3015,3153,3204,3257,3307,3388,3439,3458,3470,3563,3729,3853,3896,4116,4506,5100,5100
2,54,133,51,22,14,82,50,28,14,93,166,177,109,225,390,594,0,0
3,114,27,22,34,40,60,101,151,220,220,279,404,442,234,33,0,0,0
4,342,186,229,392,430,371,394,471,427,515,544,622,528,745,561,0,0,0
